company,abi,address_line_1,city,state,zipcode,latitude,longitude,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,year_established
bjs,233215466,1540 W BOYNTON BEACH BLVD,BOYNTON BEACH,FL,33436,26.52592,-80.09448,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
bjs,233514611,1118 WOODRUFF RD,GREENVILLE,SC,29607,34.82977,-82.30501,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
bjs,236599999,12190 LAKE UNDERHILL RD,ORLANDO,FL,32825,28.54546,-81.20757,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,
bjs,236599999,12200 LAKE UNDERHILL RD,ORLANDO,FL,32825,28.54505,-81.20556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
bjs,236600011,4697 MILLENIA PLAZA WAY,ORLANDO,FL,32839,28.49471,-81.42782,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,
bjs,237079884,1100 W OSCEOLA PKWY,KISSIMMEE,FL,34741,28.33989,-81.41421,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2003
bjs,238534754,2085 BAY ST,TAUNTON,MA,02780,41.9594033333333,-71.1186166666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,238762843,20 DIVISION ST,DERBY,CT,06418,41.3304025,-73.080155,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
bjs,240591214,44950 WORTH AVE,CALIFORNIA,MD,20619,38.29774,-76.5127133333333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
bjs,241269489,1910 DEPTFORD CENTER RD,DEPTFORD,NJ,08096,39.83007,-75.0922,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,
bjs,241269489,1910 DEPTFORD CENTER RD,WOODBURY,NJ,08096,39.82904,-75.09256,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
bjs,242958551,100 MILL RD,FREEPORT,NY,11520,40.65192,-73.57047,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,242958643,6000 BRUSH HOLLOW RD,WESTBURY,NY,11590,40.77778,-73.5586475,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,
bjs,242958643,BRUSH HOLLOW RD,WESTBURY,NY,11590,40.75956,-73.57542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
bjs,249876699,3849 S DELSEA DR,VINELAND,NJ,08360,39.43308,-75.04019,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,2004
bjs,249876699,3849 S DELSEA DR # 2500,VINELAND,NJ,08360,39.432765,-75.03931,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
bjs,250250156,1260 E WOODLAND AVE,SPRINGFIEL,PA,19064,39.9095,-75.3311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,250250156,1260 E WOODLAND AVE,SPRINGFIELD,PA,19064,39.909595,-75.331035,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,2004
bjs,252780515,2435 E WEST CONNECTOR,AUSTELL,GA,30106,33.86085,-84.62096,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
bjs,252780515,2435 EAST WEST CONNECTOR,AUSTELL,GA,30106,33.86085,-84.62096,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
bjs,253092704,6344 CASH CT,NORCROSS,GA,30071,33.94144,-84.24026,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2004
bjs,255515256,2300 W OREGON AVE # A,PHILADELPH,PA,19145,39.91829,-75.18675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,255515256,2300 W OREGON AVE # A,PHILADELPHIA,PA,19145,39.91846,-75.18646,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,
bjs,263205130,420 ATTUCKS LN,HYANNIS,MA,02601,41.67789,-70.3066475,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2005
bjs,267704989,7905 LYLES LN,CONCORD,NC,28027,35.36469,-80.71374,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,
bjs,267704989,7905 LYLES LN NW,CONCORD,NC,28027,35.36469,-80.71374,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,
bjs,312192305,2054 RED LION RD,PHILADELPH,PA,19115,40.09895,-75.02192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,312192305,2054 RED LION RD,PHILADELPHIA,PA,19115,40.098995,-75.02219,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
bjs,353684061,1300 HARTFORD AVE,JOHNSTON,RI,02919,41.82242,-71.49277,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,
bjs,353684061,200 STONE HILL RD,JOHNSTON,RI,02919,41.8181,-71.5068875,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
bjs,354003204,1990 JONESBORO RD,MCDONOUGH,GA,30253,33.46723,-84.21941,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,
bjs,354299802,200 CONSUMER SQ,MAYS LANDI,NJ,08330,39.4456,-74.70348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,354299802,200 CONSUMER SQ,MAYS LANDING,NJ,08330,39.4527,-74.63195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
bjs,354299802,200 WRANGLEBORO CONSUMER SQ,MAYS LANDING,NJ,08330,39.46677,-74.71208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
